City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mbamba,0,NG,1518760957,47,9.98,13.1,67.46,7.11
88,north bend,1,US,1518760560,87,43.41,-124.22,42.8,5.82
89,weligama,0,LK,1518760958,92,5.97,80.42,84.43,2.42
90,xinyang,0,CN,1518760959,66,32.13,114.07,55.67,4.43
91,sovetskiy,36,RU,1518760959,76,56.76,48.47,-3.19,3.65
92,katobu,64,ID,1518760959,76,-4.94,122.53,88.48,8.01
93,saint austell,20,GB,1518760200,97,50.34,-4.77,35.6,3.36
94,geraldton,90,CA,1518757200,84,49.72,-86.95,1.4,9.17
95,san quintin,40,PH,1518757200,70,17.54,120.52,86.0,9.17
96,glendive,20,US,1518760500,84,47.11,-104.71,-2.21,10.29
97,okhotsk,76,RU,1518760962,75,59.36,143.24,18.28,8.57
98,cape town,20,ZA,1518757200,88,-33.93,18.42,64.4,5.82
99,kapaa,1,US,1518756960,73,22.08,-159.32,71.6,6.93
100,sao gabriel da cachoeira,76,BR,1518760929,97,-0.13,-67.09,72.28,2.19
101,mataura,68,NZ,1518760963,54,-46.19,168.86,70.12,24.79
102,haines junction,68,CA,1518760964,74,60.75,-137.51,14.54,5.32
103,mabaruma,100,GY,1518760964,100,8.2,-59.78,73.31,7.45
104,zhigansk,44,RU,1518760965,76,66.77,123.37,-11.56,3.2
105,ler,0,NO,1518758400,55,63.2,10.3,33.8,19.46
106,mali,0,CN,1518760966,20,27.53,102.2,62.02,1.97
107,kavieng,68,PG,1518760966,100,-2.57,150.8,83.84,11.25
108,auki,0,NG,1518760966,35,12.18,6.51,66.11,11.36
109,kahului,90,US,1518756960,100,20.89,-156.47,69.8,11.41
110,lebu,0,ET,1518757200,55,8.96,38.73,60.8,9.17
111,sri aman,75,MY,1518757200,62,1.24,111.46,89.6,4.7
112,sur,0,OM,1518760968,88,22.57,59.53,74.53,1.07
113,batagay,56,RU,1518760968,37,67.65,134.64,-25.33,3.98
114,uyutne,32,UA,1518760969,100,45.2,33.3,40.82,13.38
115,mayo,20,CA,1518757200,84,63.59,-135.9,-0.41,2.64
116,beaverlodge,90,CA,1518757200,62,55.21,-119.43,23.0,19.46
117,hobart,75,AU,1518759000,39,-42.88,147.33,62.6,18.34
118,hofn,8,IS,1518760971,93,64.25,-15.21,39.79,27.92
119,khatanga,76,RU,1518760971,80,71.98,102.47,-4.27,4.65
120,te anau,44,NZ,1518760972,73,-45.41,167.72,59.32,18.19
121,rach gia,12,VN,1518760972,75,10.02,105.08,87.44,5.77
122,bethel,90,US,1518758400,86,60.79,-161.76,30.2,12.75
123,portland,90,US,1518756960,81,45.52,-122.67,44.6,2.75
124,talcahuano,90,CL,1518757200,93,-36.72,-73.12,57.2,6.93
125,jamestown,0,AU,1518760707,86,-33.21,138.6,73.45,4.43
126,teahupoo,75,PF,1518757500,69,-17.83,-149.27,82.4,13.04
127,ulladulla,75,AU,1518757200,57,-35.36,150.48,75.2,16.11
128,ponta do sol,44,BR,1518760977,88,-20.63,-46.0,66.02,2.64
129,chiang klang,20,TH,1518757200,35,19.29,100.86,89.6,2.24
130,fethiye,75,TR,1518758400,87,36.62,29.12,46.4,6.93
131,itoman,75,JP,1518757200,78,26.12,127.67,77.0,17.22
132,muhos,20,FI,1518760200,85,64.81,26.0,24.8,8.05
133,tessalit,0,ML,1518760979,36,20.2,1.01,54.19,12.03
134,bubaque,12,GW,1518760980,98,11.28,-15.83,74.08,12.82
135,east london,75,ZA,1518759480,94,-33.02,27.91,68.0,6.93
136,tiksi,68,RU,1518760981,80,71.64,128.87,-12.87,4.76
137,pospelikha,68,RU,1518760981,84,51.99,81.83,9.32,8.79
138,muscle shoals,1,US,1518756960,72,34.75,-87.67,68.0,9.17
139,lorengau,80,PG,1518760982,100,-2.02,147.27,82.99,13.04
140,thinadhoo,88,MV,1518760983,100,0.53,72.93,80.51,3.53
141,georgetown,75,GY,1518757200,94,6.8,-58.16,73.4,9.17
142,yueyang,0,CN,1518760985,80,29.36,113.12,57.88,4.43
143,saint-philippe,90,CA,1518758100,93,45.36,-73.48,41.0,9.17
144,cardoso,20,BR,1518760986,81,-20.08,-49.91,70.97,9.24
145,baker city,90,US,1518756960,68,44.77,-117.83,35.6,5.82
146,rybnaya sloboda,24,RU,1518759000,83,55.46,50.14,-5.81,4.47
147,cururupu,44,BR,1518760987,100,-1.82,-44.87,71.47,3.09
148,novoseleznevo,32,RU,1518760988,77,55.68,69.21,-0.13,4.88
149,oranjemund,92,ZA,1518760988,94,-28.55,16.43,62.42,18.3
150,vardo,90,US,1518759300,100,39.62,-77.74,64.4,12.37
151,longyearbyen,0,NO,1518756600,71,78.22,15.63,8.6,2.24
152,saint andrews,12,NZ,1518760989,49,-44.53,171.19,73.04,13.15
153,vaini,0,IN,1518760990,36,15.34,74.49,85.24,7.0
154,ostrovnoy,24,RU,1518760990,84,68.05,39.51,20.8,11.81
155,terrak,40,NO,1518758400,55,65.09,12.37,33.8,19.46
156,fukue,0,JP,1518757200,39,35.03,136.69,50.0,6.93
157,tshela,56,CD,1518760992,92,-4.99,12.94,74.89,3.76
158,frederico westphalen,0,BR,1518760992,82,-27.36,-53.4,67.6,8.23
159,cayenne,75,GF,1518759000,94,4.94,-52.33,75.2,2.24
160,molina,0,CL,1518757200,68,-35.11,-71.28,64.4,6.93
